Year,Artist,Track,USA,NON USA,Nom,Win,Youtube,M,F,D,I,Alternative rock,Big Band,Blues,Blues rock,Breakbeat,Chanson française,Church music,Classical,Concerto,Country,Country rock,Dance Pop,Disco,Dubstep,Easy Listening,EDM,Electronica,Electro Pop,Folk,Funk,Gospel,Hard rock,Hip Hop,Indie rock,Jazz,Latin Pop,Metal,New Wave,Pop,Pop Rock,R&B Nu Soul,Reggae,Reggaeton,Rock,Rock N Roll,Rock New Wave,Salsa - Afro Cuban,Samba Bossa,Soul,Soul Jazz,Speech,Swing,Traditional pop,Vocal jazz,World,,,,,,
1959,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),,1,,x,https://www.youtube.com/watch?v=7wWiC0e3b2I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0,6",,,,,,,,,,,,,,"0,8",,,,,,,,
1959,Perry Como,Catch a Falling Star,1,,x,,https://www.youtube.com/watch?v=_VJlHWESyLI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,1,,,,,,,,
1959,Peggy Lee,Fever,1,,x,,https://www.youtube.com/watch?v=JGb5IweiYG8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9",,,,,,,,,,,,,,,,,,,1,,,,,,,
1959,André Previn,Theme to Gigi,1,,x,,https://www.youtube.com/watch?v=hUoCY2e9zgU,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Frank Sinatra,Witchcraft,1,,x,,https://www.youtube.com/watch?v=oFmNgiEgPoQ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,,,,,1,"0,7",,,,,,,
1959,David Seville,The Chipmunk Song (Christmas Don't Be Late),1,,x,,https://www.youtube.com/watch?v=NPBCu_q6rMc,1,,,,,,,,,,,,,"0,4",,,,,,,,,"0,6",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1960,Johnny Horton,The Battle Of New Orleans,1,,,x,https://www.youtube.com/watch?v=fU5ORT52qco,1,,,,,,,,,,,,,1,,,,,,,,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,
1960,Frank Sinatra,High Hopes,1,,x,,https://www.youtube.com/watch?v=Buq40brGDTY,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1960,Perry Como,I Know,1,,x,,https://www.youtube.com/watch?v=CQpuMB1c20o,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1960,André Previn,Like Young,1,,x,,https://www.youtube.com/watch?v=EZKzTMr1M5E,,,,1,,1,,,,,,,,,,,,,"0,4",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Johnny Mathis,Small World,1,,x,,https://www.youtube.com/watch?v=Np_UwCeXm-E,1,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
1960,Bobby Darin,Mack the Knife,1,,,x,https://www.youtube.com/watch?v=SEllHMWkXEU,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,4",,,,,,,,,,,,,,1,"0,7",,,,,,,
1960,The Browns,The Three Bells,1,,x,,https://www.youtube.com/watch?v=PQPii9YlnOk,,,1,,,,,,,,,,,1,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,
1960,Elvis Presley,A Fool Such as I,1,,x,,https://www.youtube.com/watch?v=iJ5LQb5PQsc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6","0,4",,,,,"0,4",,,,"0,6",,,,"0,4",,,,,,,,
1961,Ernest Gold,Theme from Exodus,1,,,x,https://www.youtube.com/watch?v=wEPZ1ef2g_A,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,Jim Reeves,He'll Have to Go,1,,x,,https://www.youtube.com/watch?v=XcyQkwYkjkU,,,1,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1961,Frank Sinatra,Nice 'n' Easy,1,,x,,https://www.youtube.com/watch?v=e2dDijEJC_g,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,4",,,,,,,,,,,,,,1,"0,7",,,,,,,
1961,Andy Williams,The Second Time Around,1,,x,,https://www.youtube.com/watch?v=tRAxcFdyWSo,1,,,,,"0,7",,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,1,"0,4",,,,,,,
1961,Percy Faith,Theme from A Summer Place,1,,x,,https://www.youtube.com/watch?v=tSsiS-v6_6M,,,,1,,,,,,,,"0,5","0,5",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,Elvis Presley,Are You Lonesome Tonight? ,1,,x,,https://www.youtube.com/watch?v=9XVdtX7uSnk,1,,,,,,,,,,,,,"0,3",,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,,"0,4",,"0,6",,,,,,,,
1961,Ray Charles,Georgia on My Mind ,1,,x,,https://www.youtube.com/watch?v=fRgWBN8yt_E,1,,,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,"0,4",,,,,,,,,,,,,,"0,4",,,,1,"0,4",,,,,,,
1961,Ella Fitzgerald,Mack the Knife ,1,,x,,https://www.youtube.com/watch?v=bIYFrCC0WH0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,"0,8",,1,,,,,,,
1962,Henry Mancini,Moon River,1,,,x,https://www.youtube.com/watch?v=WZ8j-X1hq1I,,,1,,,,,,,,,"0,3","0,3",,,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,
1962,Jimmy Dean,Big Bad John,1,,x,,https://www.youtube.com/watch?v=KnnHprUGKF0,1,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,"0,7",,,,,,,,
1962,Burl Ives,A Little Bitty Tear,1,,x,,https://www.youtube.com/watch?v=M3yKMWaaD9o,,,1,,,,,,,,,,,1,,,,,,,,,"0,4",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1962,Jack Jones,Lollipops and Roses,1,,x,,https://www.youtube.com/watch?v=9EAELtJgD6A,1,,,,,,,,,,,"0,4","0,4",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9",,,,,,,,
1962,June Christy,Make Someone Happy,1,,x,,https://www.youtube.com/watch?v=oFJgFBWNwT8,,1,,,,"0,6",,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,,,,"0,4","0,6",1,,,,,,,
1962,Frank Sinatra,The Second Time Around ,1,,x,,https://www.youtube.com/watch?v=flj80JytK-Q,1,,,,,1,,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"0,3",,,,,,,
1962,The Dave Brubeck Quartet,Take Five ,1,,x,,https://www.youtube.com/watch?v=rqCUX3D3cnE,,,,1,,,,,,,,,,,,,,,"0,3",,,,,,,,,,1,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,
1962,Si Zentner,(Up a) Lazy River ,1,,x,,https://www.youtube.com/watch?v=8eCwFFIh-YI,,,,1,,1,,,,,,,,,,,,,"0,4",,,,,,,,,,1,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,
1963,"Sammy Davis, Jr.",What Kind of Fool Am I ? ,1,,,x,https://www.youtube.com/watch?v=lVchmf4M88s,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1963,Shirley Bassey,As Long as He Needs Me,,1,x,,https://www.youtube.com/watch?v=-vmGoiP1P6w,,1,,,,,,,,,,"0,4","0,4",,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
