Artist,Title,ISRC,Spotify ID,Deezer ID,Youtube ID
Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),TCACS1657877,0SECl46T8opPOK8pOTHq28,134184508,7wWiC0e3b2I
Perry Como,Catch A Falling Star,USA370517760,6N1z0OZiXotykNxAXsn3aQ,4317177,_VJlHWESyLI
Peggy Lee,Fever,USCA28900304,2CeqxyOZEyiL6pTDYZ9gPH,3124340,JGb5IweiYG8
André Previn And His Pals,Gigi,DEA311607068,5XpT8otmoM7cHbpDwkYutf,423543142,hUoCY2e9zgU
Frank Sinatra,Witchcraft,USCA29901320,0H2uVxEEvuRRYLhowu78jf,3103532,oFmNgiEgPoQ
The Chipmunks,The Chipmunk Song (Christmas Don't Be Late),USEM39900131,02NKMA9cIkq6VuBNu9q9Wf,3252348,NPBCu_q6rMc
Johnny Horton,The Battle Of New Orleans,USSM19916424,0dwpdcQkeZqpuoAPYD49N3,540852,fU5ORT52qco
Frank Sinatra,High Hopes,USCA28800306,0U5nbtNkT53aslTdEBjpkF,3132194,Buq40brGDTY
Perry Como,I Know,USRC19900725,41mZHk5gTxsxpq336WhqDn,972553,CQpuMB1c20o
André Previn,Like Young,FRP621541710,08KvOnEwdLTrHls8rYPkYj,407595912,EZKzTMr1M5E
Johnny Mathis,Small World (Single Version),USSM10008384,0tOpuEpOX9Jl5fyA4WywdN,585845,Np_UwCeXm-E
Bobby Darin,Mack the Knife,USEW10000025,3E5ndyOfO6vFDEIE42HA8o,3613202,SEllHMWkXEU
The Browns,The Three Bells,USRC18805873,4s1RJFAKferfgn2bTi05SH,4253221,PQPii9YlnOk
Elvis Presley,"(Now & Then There's) A Fool Such As I (Master Recordings - RCA Studio B, Nashvilla Tennessee - June 1958)",GBHJP1000003,6UchssgOPc1CRx9qvjAGIb,11093871,iJ5LQb5PQsc
Ernest Gold,"Theme of Exodus (From ""Exodus"" Soundtrack)",FR6V82498364,7A7Bak9REa9pRZzohssUPi,78755934,wEPZ1ef2g_A
Jim Reeves,He'll Have to Go,USRN19500172,7DH5dXVuQaqcKf9oTy9oUN,547862,XcyQkwYkjkU
Frank Sinatra,Nice 'N' Easy,USCA21102126,6D9ZskVAhowskfJ9rsEVg7,74078699,e2dDijEJC_g
Andy Williams,"The Second Time Around (From the 20th Century-Fox Picture, ""High Time"")",USSM19911990,6FfdklO8R9Q1okEyGGUdaD,1080114,tRAxcFdyWSo
Percy Faith & His Orchestra,"The Theme from ""A Summer Place""",USSM19915945,6zwvB879PJSpTyFcg2wwnL,1065521,tSsiS-v6_6M
Elvis Presley,Are You Lonesome Tonight,USRC16005290,6vXZs9rEQF7Nd6O8Ue7NrT,92066338,9XVdtX7uSnk
Ray Charles,Georgia on My Mind,SEWDL6012012,4DEAiNBvq5yBy7NzpVc02h,71535088,fRgWBN8yt_E
Ella Fitzgerald,Mack The Knife,USPR36082209,4Th9bHssS6yaAbQbifN6T7,906626,bIYFrCC0WH0
Henri Mancini and His Orchestra,Moon River,FRS181448706,4VP4zsxYxmHgjET0EY1WR6,80907456,WZ8j-X1hq1I
Jimmy Dean,Big Bad John,USSM16101330,61uAY9xdzYiIbYJ07XvKso,586647,KnnHprUGKF0
Burl Ives,A Little Bitty Tear,USMC16148582,2pKxKNBwBnmfIfTOfRhtef,1167820,M3yKMWaaD9o
Jack Jones,Lollipops And Roses,USMC16105915,67JIfYdnRNXSSP1uPRmE2j,2801094,9EAELtJgD6A
June Christy,Make Someone Happy,USCA29601417,68PsKYgtYIocauE5El1gS3,3516650,oFJgFBWNwT8
Frank Sinatra,The Second Time Around (Album Version),USRH10800803,2MfNXoj8DThCX8JmzKv2Ee,71245072,flj80JytK-Q
The Dave Brubeck Quartet,Take Five,USSM15900108,1YQWosTIljIvxAgHWTp7KP,537085,rqCUX3D3cnE
Si Zentner and His Orchestra,Up A Lazy River,USUM71815696,3H4GdSW244rmm77GYW8IXV,593689592,8eCwFFIh-YI
Sammy Davis Jr.,What Kind of Fool Am I,USRE16100004,2ChoPgCQ88DGEDFBwFgZlo,3083603,lVchmf4M88s
Shirley Bassey,As Long as He Needs Me,GBAYE6000064,2pKjzyIfQbCV2TxBuAPaKf,3170646,-vmGoiP1P6w
Tony Bennett,(I Left My Heart) In San Francisco,USSM19909797,1bYItjcPRtxZs6Ir71O5RB,15196445,SC73kdOL5hk
Sandy Stewart,My Coloring Book,UK4YS1353549,0RTjNnn2ZSonWfbwruowDD,74973104,QkTGbWZdGGg
Chris Connor,The Sweetest Sounds,DES201879618,32Id7tgewoLrrpPIF3usr8,452792132,ngCfGn5fTVY
Stan Getz & Charlie Byrd,Desafinado,GBDAG1501577,7dekurG8hHRB6NRwg5KqMK,112085516,TFZvzRLPb5E
Joe Harnell His Piano And Orchestra,Fly Me to the Moon,DEBL60563434,5NJbcoswMblQuKggmi2fWl,72526603,7NgQkSscF9I
Ray Charles,I Can't Stop Loving You,USC4R0919286,79nJj5dMyTsUzKvN5jUXsJ,634440642,w-YqaTDDCDM
Henry Mancini & His Orchestra And Chorus,Days Of Wine And Roses (1988 Remastered),USRC18805773,6zvTY90KuWKBvQaOowAcq5,6719426,9TpvTEb4BaQ
Frank Sinatra,Call Me Irresponsible (Album Version),USRH10800811,2deirpu84Kjxi7eT2aOyCD,71245090,4FiEV3tbXvk
Tony Bennett,The Good Life,USSM16200003,4MVvSNPOUd2z70vkkNCbLr,2464621,zJ82mHBtrc8
Tony Bennett,I Wanna Be Around... (Album Version),USSM16200010,1smChL3Aq1U9DZA83LuDtp,2464677,4ml_V7HNIsY
Jack Jones,Wives And Lovers,USMC16306754,33yeTx321qQCaLyh2nE6BY,908630,rZ7WT02wFOk
The Singing Nun,Dominique,USBT21612830,5tYNc5FJfBq2NfkjV2EubB,537744572,wIG_GRebHO4
Barbra Streisand,Happy Days Are Here Again,USSM11807112,5ZsrdNqT7oHDTD85XvDVD9,572819002,QLik_SdEm6Q
