Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Ricky Nelson,"['Poor Little Fool' 'Sweeter Than You' 'I Wanna Be Loved'
 'Right By My Side' 'Just A Little Too Much'
 'Never Be Anyone Else But You' 'I Got A Feeling' 'Hello Mary Lou'
 ""I'm Not Afraid"" 'Milk Cow Blues' 'Lonesome Town' 'Mighty Good'
 ""It's Late"" 'Old Enough To Love' ""If You Can't Rock Me""
 ""Yes Sir, That's My Baby"" 'You Are The Only One' 'Young Emotions'
 ""Travelin' Man""]",19,199,1958,1963,5,6,4,10,36,False
Mariah Carey & Boyz II Men,['One Sweet Day'],1,27,1995,1996,2,2,16,17,19,False
Elton John,"['Candle In The Wind 1997/Something About The Way You Look Tonight'
 ""Saturday Night's Alright For Fighting"" 'A Word In Spanish'
 'Candle In The Wind' 'Believe' 'Rocket Man' 'Recover Your Soul'
 'Club At The End Of The Street' 'Blessed' 'Sad Songs (say So Much)'
 'Someone Saved My Life Tonight' 'Sorry Seems To Be The Hardest Word'
 'Bite Your Lip (Get up and dance!)' 'Someday Out Of The Blue'
 'Circle Of Life (From ""The Lion King"")' 'Sacrifice' 'Chloe' 'Simple Life'
 'Can You Feel The Love Tonight (From ""The Lion King"")' 'Blue Eyes'
 'Part-Time Love' 'Bennie And The Jets' ""Don't Let The Sun Go Down On Me""
 ""(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?""
 'Crocodile Rock' 'Lucy In The Sky With Diamonds' 'Island Girl'
 'Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford)'
 ""I'm Still Standing"" 'Kiss The Bride'
 ""I Don't Wanna Go On With You Like That"" 'Goodbye Yellow Brick Road'
 'The Bitch Is Back' 'Daniel' 'Honky Cat' 'Ego' 'Little Jeannie'
 ""I Guess That's Why They Call It The Blues"" ""Mama Can't Buy You Love""
 'Nobody Wins' 'In Neon' 'Nikita' 'Friends' 'Made In England'
 'Healing Hands' 'Empty Garden (Hey Hey Johnny)' 'Levon'
 'Heartache All Over The World' 'The Last Song' 'Border Song' 'The One'
 'Wrap Her Up' 'You Can Make History (Young Again)'
 'You Gotta Love Someone' 'Who Wears These Shoes?' 'Your Song'
 'Tiny Dancer' 'Victim Of Love']",58,889,1970,2000,30,31,23,72,144,False
Taylor Hicks,"['Do I Make You Proud' ""Takin' It To The Streets""]",2,12,2006,2006,1,1,1,2,2,False
Britney Spears,"['3' 'Circus' '...Baby One More Time' '(You Drive Me) Crazy' 'Stronger'
 'Break The Ice' 'Piece Of Me' 'Hold It Against Me' 'Sometimes'
 'Oops!...I Did It Again' 'Shattered Glass' 'Lucky' 'Everytime' 'Perfume'
 ""I'm A Slave 4 U"" 'I Wanna Go' 'From The Bottom Of My Broken Heart'
 'Gimme More' 'If U Seek Amy' 'Outrageous' 'Ooh La La' 'Radar' 'Criminal'
 'Overprotected' 'Womanizer' ""Do Somethin'"" 'Work B**ch!' 'Toxic']",28,413,1998,2014,14,17,5,22,62,False
Lady Gaga,"['Born This Way' 'Applause' 'Bad Romance' 'Perfect Illusion' 'Poker Face'
 'Always Remember Us This Way' 'Dope' 'Paparazzi' 'A-YO' 'Alejandro'
 'Judas' 'Hair' ""I'll Never Love Again"" 'Is That Alright?' 'G.U.Y.'
 'Million Reasons' 'Marry The Night' 'The Cure' 'The Edge Of Glory'
 'Speechless' 'LoveGame' 'Til It Happens To You' 'You And I' 'Venus']",24,319,2009,2019,10,11,7,46,104,False
Katy Perry,"['Part Of Me' 'Rise' 'Teenage Dream' 'Birthday' 'Roar' 'Circle The Drain'
 'Cozy Little Christmas' 'Never Really Over' 'Not Like The Movies'
 'Firework' 'Small Talk' 'Last Friday Night (T.G.I.F.)' 'I Kissed A Girl'
 'Hot N Cold' 'The One That Got Away' 'Thinking Of You'
 'This Is How We Do' 'Wide Awake' 'Unconditionally' 'Waking Up In Vegas'
 'Walking On Air']",21,387,2008,2019,10,12,18,84,130,False
Taylor Swift,"['Shake It Off' '...Ready For It?' 'Back To December' 'Red' 'Begin Again'
 'Speak Now' 'Change' 'Ours' 'State Of Grace' 'Ronan' 'Sparks Fly'
 'Out Of The Woods' 'Blank Space' 'Superstar' 'Superman'
 'Call It What You Want' 'Cruel Summer' 'Come In With The Rain'
 'Sweeter Than Fiction' 'Teardrops On My Guitar' '22' 'Paper Rings'
 'Dear John' 'Better Than Revenge' 'Cornelia Street' 'Mine'
 'I Knew You Were Trouble.' 'Fearless' 'Our Song' 'Christmas Tree Farm'
 'Style' 'Death By A Thousand Cuts' 'The Archer' 'Delicate'
 ""Should've Said No"" 'Jump Then Fall' 'If This Was A Movie' 'Mean'
 'Gorgeous' 'Love Story' 'Eyes Open' 'Lover' 'Innocent'
 'I Forgot That You Existed' 'Forever & Always'
 'Miss Americana & The Heartbreak Prince' 'I Think He Knows' 'London Boy'
 'Picture To Burn' 'Crazier' 'Breathless' 'Afterglow' 'All Too Well'
 'Haunted' 'I Almost Do' 'Last Kiss' 'New Romantics' 'Enchanted'
 'Look What You Made Me Do' 'False God' 'Fifteen' 'Never Grow Up'
 'Long Live' ""It's Nice To Have A Friend"" 'Hey Stephen' 'The Man'
 'The Moment I Knew' 'Daylight' 'Stay Stay Stay'
 'The Other Side Of The Door' 'The Story Of Us' 'The Way I Loved You'
 'Tim McGraw' 'Wonderland' 'You Are In Love' 'You Belong With Me'
 'You Need To Calm Down' ""You're Not Sorry"" 'White Horse' 'Wildest Dreams'
 'Today Was A Fairytale' 'Untouchable'
 'We Are Never Ever Getting Back Together' 'Welcome To New York']",84,929,2006,2019,14,14,17,81,143,False
Zayn,"['Pillowtalk' 'Like I Would' ""It's You"" 'Let Me']",4,29,2016,2018,2,3,1,4,16,False
Justin Timberlake,"[""Can't Stop The Feeling!"" 'Senorita' 'Cry Me A River'
 'Take Back The Night' 'Filthy' 'SexyBack' 'Rock Your Body'
 'Pusher Love Girl' 'Supplies' 'Summer Love' 'Mirrors' 'Not A Bad Thing'
 'Like I Love You' 'Man Of The Woods' 'LoveStoned' 'TKO'
 'What Goes Around...Comes Around']",17,337,2002,2018,9,17,9,39,81,False
