SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
Poor Little FoolRicky Nelson,1958,11,1,1,2,4,6
One Sweet DayMariah Carey & Boyz II Men,1995,27,1,1,16,17,19
Candle In The Wind 1997/Something About The Way You Look TonightElton John,1997,42,1,1,14,16,17
Do I Make You ProudTaylor Hicks,2006,8,1,1,1,2,2
3Britney Spears,2009,20,1,1,1,2,11
Born This WayLady Gaga,2011,20,1,1,6,9,9
Part Of MeKaty Perry,2012,22,1,1,1,3,9
Shake It OffTaylor Swift,2014,50,1,1,4,17,24
PillowtalkZayn,2016,24,1,1,1,4,16
Can't Stop The Feeling!Justin Timberlake,2016,52,1,1,1,13,15
Shape Of YouEd Sheeran,2017,58,1,1,12,27,33
"Thank U, NextAriana Grande",2018,28,1,1,7,14,17
7 RingsAriana Grande,2019,33,1,1,8,14,16
SuckerJonas Brothers,2019,38,1,1,1,9,22
PatriciaPerez Prado And His Orchestra,1958,14,1,2,0,4,6
Always Be My BabyMariah Carey,1996,32,1,1,2,13,15
Tha CrossroadsBone Thugs-N-Harmony,1996,20,1,1,8,11,12
4 Seasons Of LonelinessBoyz II Men,1997,20,1,1,1,8,10
CrushDavid Archuleta,2008,23,1,2,0,1,1
Party In The U.S.A.Miley Cyrus,2009,28,1,2,0,11,16
California GurlsKaty Perry Featuring Snoop Dogg,2010,27,1,1,6,14,17
BoyfriendJustin Bieber,2012,20,1,2,0,4,12
Best Song EverOne Direction,2013,21,3,2,0,1,1
SorryJustin Bieber,2015,42,1,1,3,19,21
Cold WaterMajor Lazer Featuring Justin Bieber & MO,2016,27,1,2,0,11,14
RockstarPost Malone Featuring 21 Savage,2017,40,1,1,8,21,24
PsychoPost Malone Featuring Ty Dolla Sign,2018,39,1,1,1,17,21
"Break Up With Your Girlfriend, I'm BoredAriana Grande",2019,20,1,2,0,1,2
SenoritaShawn Mendes & Camila Cabello,2019,26,1,1,1,21,23
Splish SplashBobby Darin,1958,8,1,3,0,2,3
One WeekBarenaked Ladies,1998,20,1,1,1,7,9
CircusBritney Spears,2008,22,1,3,0,2,5
She WillLil Wayne Featuring Drake,2011,21,1,3,0,1,1
PayphoneMaroon 5 Featuring Wiz Khalifa,2012,31,1,2,0,17,19
BerzerkEminem,2013,20,1,3,0,1,3
ProblemAriana Grande Featuring Iggy Azalea,2014,25,1,2,0,14,16
SolitaireClay Aiken,2004,8,1,4,0,1,1
Don't Stop Believin'Glee Cast,2009,7,4,4,0,1,1
Chained To The RhythmKaty Perry Featuring Skip Marley,2017,15,1,4,0,1,2
Sign Of The TimesHarry Styles,2017,13,1,4,0,1,1
DNA.Kendrick Lamar,2017,20,1,4,0,1,2
...Ready For It?Taylor Swift,2017,19,1,4,0,1,1
Call Out My NameThe Weeknd,2018,18,1,4,0,1,1
Sicko ModeTravis Scott,2018,52,1,1,1,17,32
"10,000 HoursDan + Shay & Justin Bieber",2019,11,1,4,0,1,7
Scream/ChildhoodMichael Jackson & Janet Jackson,1995,17,1,5,0,2,6
One More Chance/Stay With MeThe Notorious B.I.G.,1995,20,1,2,0,9,10
Say You'll Be ThereSpice Girls,1997,21,1,3,0,5,9
Ray Of LightMadonna,1998,20,1,5,0,1,4
Burnin' UpJonas Brothers,2008,16,1,5,0,1,3
Swagga Like UsJay-Z & T.I. Featuring Kanye West & Lil Wayne,2008,20,1,5,0,1,1
BabyJustin Bieber Featuring Ludacris,2010,20,1,5,0,1,5
24K MagicBruno Mars,2016,41,1,4,0,8,15
Don't CryLil Wayne Featuring XXXTENTACION,2018,3,1,5,0,1,1
Please MeCardi B & Bruno Mars,2019,20,1,3,0,5,8
Rebel-'rouserDuane Eddy His Twangy Guitar And The Rebels,1958,8,1,6,0,0,3
RunawayJanet Jackson,1995,24,1,3,0,9,14
2 Become 1Spice Girls,1997,24,1,4,0,4,9
Right Above ItLil Wayne Featuring Drake,2010,24,1,6,0,0,1
Back To DecemberTaylor Swift,2010,20,2,6,0,0,1
RedTaylor Swift,2012,22,4,6,0,0,1
ApplauseLady Gaga,2013,23,1,4,0,1,14
Story Of My LifeOne Direction,2013,32,1,6,0,0,7
"Bang BangJessie J, Ariana Grande & Nicki Minaj",2014,31,1,3,0,11,16
Summer SixteenDrake,2016,14,1,6,0,0,1
Castle On The HillEd Sheeran,2017,33,1,6,0,0,1
ATMJ. Cole,2018,5,1,6,0,0,1
All By MyselfCeline Dion,1997,20,1,4,0,3,5
Barbie GirlAqua,1997,16,2,7,0,0,3
"Sorry, Blame It On MeAkon",2007,19,1,7,0,0,1
Blah Blah BlahKeSha Featuring 3OH!3,2010,20,1,7,0,0,1
Strange CloudsB.o.B Featuring Lil Wayne,2011,20,1,7,0,0,1
Begin AgainTaylor Swift,2012,20,2,7,0,0,1
Rap GodEminem,2013,20,1,7,0,0,1
Deja VuJ. Cole,2016,20,1,7,0,0,1
